trial,reef,treatment,Sex,deployment.day,final.proportion,total.recollection
June,1,Low,Female,A,1,1
June,2,High,Female,A,0,0
June,3,Medium,Female,A,0.5,1
June,4,High,Female,A,0,1
June,5,Medium,Female,A,0,0
June,6,Low,Female,A,0,0
June,7,Medium,Female,A,0.5,2
June,8,High,Female,A,0.33,2
June,9,Low,Female,A,0,1
June,10,Medium,Female,B,0.25,1
June,11,Low,Female,B,0.33,5
June,12,High,Female,B,0.23,3
June,13,Low,Female,B,0.08,2
June,14,Medium,Female,B,0.22,4
June,15,Low,Female,B,0.44,4
June,16,High,Female,B,0.11,2
June,17,Medium,Female,B,0.29,5
June,18,High,Female,B,0.4,3
June,1,Low,Male,A,0,0
June,2,High,Male,A,1,3
June,3,Medium,Male,A,0.5,1
June,4,High,Male,A,0,0
June,5,Medium,Male,A,1,2
June,6,Low,Male,A,1,3
June,7,Medium,Male,A,0,0
June,8,High,Male,A,0.33,1
June,9,Low,Male,A,0.5,1
June,10,Medium,Male,B,0.75,3
June,11,Low,Male,B,0.67,10
June,12,High,Male,B,0.77,10
June,13,Low,Male,B,0.85,11
June,14,Medium,Male,B,0.78,14
June,15,Low,Male,B,0.56,5
June,16,High,Male,B,0.78,7
June,17,Medium,Male,B,0.71,12
June,18,High,Male,B,0.4,2
July,1,High,Female,,,
July,2,Low,Female,,,
July,3,Medium,Female,,,
July,4,Low,Female,,,
July,5,Medium,Female,,,
July,6,High,Female,,,
July,7,Medium,Female,,,
July,8,Low,Female,,,
July,9,High,Female,,,
July,10,Medium,Female,,,
July,11,Low,Female,,,
July,12,High,Female,,,
July,13,Low,Female,,,
July,14,Medium,Female,,,
July,15,High,Female,,,
July,16,Medium,Female,,,
July,17,Low,Female,,,
July,18,High,Female,,,
July,1,High,Male,,,
July,2,Low,Male,,,
July,3,Medium,Male,,,
July,4,Low,Male,,,
July,5,Medium,Male,,,
July,6,High,Male,,,
July,7,Medium,Male,,,
July,8,Low,Male,,,
July,9,High,Male,,,
July,10,Medium,Male,,,
July,11,Low,Male,,,
July,12,High,Male,,,
July,13,Low,Male,,,
July,14,Medium,Male,,,
July,15,High,Male,,,
July,16,Medium,Male,,,
July,17,Low,Male,,,
July,18,High,Male,,,
August,1,Low,Female,,,
August,2,Control,Female,,,
August,3,Medium,Female,,,
August,4,Low,Female,,,
August,5,Control,Female,,,
August,6,Medium,Female,,,
August,7,High,Female,,,
August,8,Control,Female,,,
August,9,Low,Female,,,
August,10,High,Female,,,
August,11,Medium,Female,,,
August,12,Control,Female,,,
August,13,Low,Female,,,
August,14,Medium,Female,,,
August,15,High,Female,,,
August,16,Low,Female,,,
August,17,High,Female,,,
August,18,Medium,Female,,,
August,19,Control,Female,,,
August,20,High,Female,,,
August,1,Low,Male,,,
August,2,Control,Male,,,
August,3,Medium,Male,,,
August,4,Low,Male,,,
August,5,Control,Male,,,
August,6,Medium,Male,,,
August,7,High,Male,,,
August,8,Control,Male,,,
August,9,Low,Male,,,
August,10,High,Male,,,
August,11,Medium,Male,,,
August,12,Control,Male,,,
August,13,Low,Male,,,
August,14,Medium,Male,,,
August,15,High,Male,,,
August,16,Low,Male,,,
August,17,High,Male,,,
August,18,Medium,Male,,,
August,19,Control,Male,,,
August,20,High,Male,,,
